id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"darek.reasons.item4.body","/darek","Proč Vzpomínkář","Odstavec","Žádné aplikace, žádná hesla. Babička stiskne velké tlačítko a vypráví. Otestováno na seniorech od sedmdesáti do devadesáti.","",""
"darek.steps.eyebrow","/darek","Jak to celé probíhá","Eyebrow","Jak to celé probíhá","",""
"darek.steps.h2","/darek","Jak to celé probíhá","Nadpis","Tři kroky. Pět minut vašeho času.","",""
"darek.steps.lede","/darek","Jak to celé probíhá","Odstavec","Od „chci darovat“ k „v pondělí přijde první otázka“. Vy to připravíte za pár minut. Zbytek je na nás a na obdarovaném.","",""
"darek.steps.item1.h","/darek","Jak to celé probíhá","Podnadpis","Připravíte to za pár minut","",""
"darek.steps.item1.body","/darek","Jak to celé probíhá","Odstavec","Online a v klidu z gauče. Zadáte, komu vyprávění patří a jak ho doma oslovují, a vyberete první otázky, na které se chcete zeptat.","",""
"darek.steps.item2.h","/darek","Jak to celé probíhá","Podnadpis","V pondělí přijde první otázka","",""
"darek.steps.item2.body","/darek","Jak to celé probíhá","Odstavec","První otázka odejde v pondělí ráno e-mailem. Stačí kliknout, otevře se jedna stránka s velkým tlačítkem — bez aplikace, bez hesla.","",""
"darek.steps.item3.h","/darek","Jak to celé probíhá","Podnadpis","Z roku vyprávění vznikne kniha","",""
"darek.steps.item3.body","/darek","Jak to celé probíhá","Odstavec","Každý týden přibude jedna vzpomínka. Odpovědi se průběžně ukládají do online knihovny a na konci si je necháte vytisknout jako knihu.","",""
"darek.fields.eyebrow","/darek","Co u nás nastavíte","Eyebrow","Co u nás nastavíte","",""
"darek.fields.h2","/darek","Co u nás nastavíte","Nadpis","Pár polí. Žádný formulář na pět stránek.","",""
"darek.fields.lede","/darek","Co u nás nastavíte","Odstavec","Vyplníte za pár minut z gauče. Ostatní vyřešíme my.","",""
"darek.fields.item1.h","/darek","Co u nás nastavíte","Podnadpis","Komu vyprávění patří","",""
"darek.fields.item1.body","/darek","Co u nás nastavíte","Odstavec","Jméno a oslovení obdarovaného — to, jak ho doma oslovují. „Babi Marie“, „dědo Karle“, „mami“, jak je vám blízké. Podle toho se otázky ptají.","",""
"darek.fields.item2.h","/darek","Co u nás nastavíte","Podnadpis","Na co se chcete zeptat","",""
"darek.fields.item2.body","/darek","Co u nás nastavíte","Odstavec","Vyberete první otázky z osmi témat — dětství, láska, práce, životní moudro. Nebo přidáte vlastní. Měnit a doplňovat je můžete kdykoliv.","",""
"darek.fields.item3.h","/darek","Co u nás nastavíte","Podnadpis","Váš e-mail pro správu","",""
"darek.fields.item3.body","/darek","Co u nás nastavíte","Odstavec","Sem chodí přepisy odpovědí a do online knihovny vidíte vy i celá rodina. Obdarovaný nemusí nic instalovat ani se nikam přihlašovat.","",""
"darek.reassurance.eyebrow","/darek","Klid na duši","Eyebrow","Klid na duši","",""
"darek.reassurance.quote","/darek","Klid na duši","Citace","Píše a pomáhá vám člověk, ne robot. Vzpomínky i přístup ke knize zůstávají vaší rodině napořád. A když si nebudete vědět rady, ozvěte se nám — jsme tu.","",""
"darek.reassurance.attr","/darek","Klid na duši","Atribuce","— tým Vzpomínkáře","",""
"darek.occasions.eyebrow","/darek","Pro jakou příležitost","Eyebrow","Pro jakou příležitost","",""
"darek.occasions.h2","/darek","Pro jakou příležitost","Nadpis","Čtyři okamžiky, kdy se to nejvíc hodí.","",""
"darek.occasions.lede","/darek","Pro jakou příležitost","Odstavec","Hodí se k nim ke všem. První otázka vždy odejde v nejbližší pondělí ráno e-mailem.","",""
"darek.occasions.item1.h","/darek","Pro jakou příležitost","Podnadpis","K Vánocům","",""
"darek.occasions.item1.body","/darek","Pro jakou příležitost","Odstavec","Pod stromeček oznámíte, že vyprávění začíná. První otázka přijde hned v nejbližší pondělí e-mailem — krásně v klidu po svátcích.","",""
"darek.occasions.item2.h","/darek","Pro jakou příležitost","Podnadpis","K narozeninám","",""
"darek.occasions.item2.body","/darek","Pro jakou příležitost","Odstavec","Místo dalšího předmětu rok společných vzpomínek. Vyberete první otázky, přidáte vlastní — a v pondělí to celé začne.","",""
"darek.occasions.item3.h","/darek","Pro jakou příležitost","Podnadpis","Ke zlaté svatbě","",""
"darek.occasions.item3.body","/darek","Pro jakou příležitost","Odstavec","Kniha vyrobená pro oba — dvě paralelní pravdy o stejných padesáti letech. Jedna z nejhezčích věcí, které jsme za rok udělali.","",""
"darek.occasions.item4.h","/darek","Pro jakou příležitost","Podnadpis","Po nemoci","",""
"darek.occasions.item4.body","/darek","Pro jakou příležitost","Odstavec","Pomalá, jemná aktivita. Vyprávění jako rehabilitace. Žádný tlak — odpovídá se vlastním tempem a kdykoliv může pauznout.","",""
"darek.final.eyebrow","/darek","Závěrečná výzva","Eyebrow","Připravíte za pár minut","",""
"darek.final.heading","/darek","Závěrečná výzva","Nadpis","Darujte Vzpomínkář.","",""
"darek.final.lede","/darek","Závěrečná výzva","Odstavec","Jednorázově, přístup napořád — bez předplatného.","",""
"darek.final.cta","/darek","Závěrečná výzva","Tlacitko","Darovat Vzpomínkář","","max ~25 znaku (tlacitko)"
"darek.final.footer","/darek","Závěrečná výzva","Odstavec","Nebo se podívejte na ceník.","","obsahuje vnoreny odkaz: slovo „ceník“ vede na /cenik"
"darek.final.footer.link","/darek","Závěrečná výzva","Odkaz","ceník","","odkaz na /cenik (soucast vety „Nebo se podívejte na ceník.“)"
