id,stranka,sekce,typ,soucasne_copy,nove_copy,poznamka
"faq.cat3.a4","/faq","Soukromí a data","FAQ-odpoved","Online knihovnu nasdílíte jen těm, kdo by ji měli vidět. Tištěnou knihu si pak objednáváte vy — a kolik výtisků chcete (pro sourozence, vnoučata).","",""
"faq.cat4.title","/faq","Kniha a tisk","Nadpis","Kniha a tisk","","kategorie IV; v kodu Kniha a&nbsp;tisk — nedelitelna mezera"
"faq.cat4.intro","/faq","Kniha a tisk","Odstavec","Jak vypadá výsledek na vaší poličce.","",""
"faq.cat4.q1","/faq","Kniha a tisk","FAQ-otazka","Jak dlouho trvá, než kniha vznikne?","",""
"faq.cat4.a1","/faq","Kniha a tisk","FAQ-odpoved","V průměru 9–12 měsíců. Záleží jen na tom, kolik otázek si vyberete a v jakém tempu rodič odpovídá. Knihu si můžete objednat kdykoliv — nebo počkat, až bude celá hotová.","",""
"faq.cat4.q2","/faq","Kniha a tisk","FAQ-otazka","Jak kniha vypadá fyzicky?","",""
"faq.cat4.a2","/faq","Kniha a tisk","FAQ-odpoved","Tvrdé desky, šitá vazba, papír v krémové barvě, ražba na hřbetě. Formát A5, ručně dokončená. U každé kapitoly QR kód, který spustí původní hlasové vyprávění.","",""
"faq.cat4.q3","/faq","Kniha a tisk","FAQ-otazka","Můžu si objednat víc výtisků?","",""
"faq.cat4.a3","/faq","Kniha a tisk","FAQ-odpoved","Samozřejmě. První tištěná kniha je v ceně. Většina rodin pak dělá kopie pro každé dospělé dítě — další výtisky pořídíte za zvýhodněnou cenu, kterou uvidíte při objednávce.","",""
"faq.cat4.q4","/faq","Kniha a tisk","FAQ-otazka","Co když chci knihu předtím vidět?","",""
"faq.cat4.a4","/faq","Kniha a tisk","FAQ-odpoved","Online náhled vám ukážeme zdarma — vidíte přesné rozložení stránek, sazbu, fotky. Knihu objednáváte až tehdy, když je vše tak, jak chcete.","",""
"faq.cat5.title","/faq","Cena a platba","Nadpis","Cena a platba","","kategorie V; v kodu Cena a&nbsp;platba — nedelitelna mezera"
"faq.cat5.intro","/faq","Cena a platba","Odstavec","Co platíte, kdy a co dostáváte.","",""
"faq.cat5.q1","/faq","Cena a platba","FAQ-otazka","Kdy a kolik se platí?","",""
"faq.cat5.a1","/faq","Cena a platba","FAQ-odpoved","Jednorázových 2 890 Kč za přístup k jedné knize — jeden blízký a až 52 otázek, napořád, včetně první tištěné knihy. Žádné předplatné, nic se neobnovuje. Další blízký nebo další díl stojí 1 790 Kč.","","obsahuje ceny 2 890 Kč a 1 790 Kč — overit dle ceniku"
"faq.cat5.q2","/faq","Cena a platba","FAQ-otazka","Co se stane, když vyčerpám 52 otázek?","",""
"faq.cat5.a2","/faq","Cena a platba","FAQ-odpoved","Tím je kniha plná. Můžete objednat tisk a/nebo si pořídit další díl (1 790 Kč) a plynule pokračovat — vznikne Díl 2 s dalšími 52 otázkami o stejném blízkém. Přístup k hotové knize i vzpomínkám máte napořád.","","obsahuje cenu 1 790 Kč — overit dle ceniku"
"faq.cat5.q3","/faq","Cena a platba","FAQ-otazka","Mohu mít víc seniorů — babičku i dědu?","",""
"faq.cat5.a3","/faq","Cena a platba","FAQ-odpoved","Ano. Dalšího blízkého přidáte za 1 790 Kč — každý má svou vlastní knihu a svůj jednoduchý přístup. Babička i děda tak mohou vyprávět souběžně, každý svůj příběh.","","obsahuje cenu 1 790 Kč — overit dle ceniku"
"faq.cat6.title","/faq","Po objednávce","Nadpis","Po objednávce","","kategorie VI"
"faq.cat6.intro","/faq","Po objednávce","Odstavec","Když se zasekne to, co se nemělo.","",""
"faq.cat6.q1","/faq","Po objednávce","FAQ-otazka","Co když budu potřebovat pomoct?","",""
"faq.cat6.a1","/faq","Po objednávce","FAQ-odpoved","Napište nám — odpovídáme rychle a osobně, ne přes chatbota. Většinu drobností vyřešíme do hodiny.","",""
"faq.cat6.q2","/faq","Po objednávce","FAQ-otazka","Co když rodič udělá v aplikaci chybu?","",""
"faq.cat6.a2","/faq","Po objednávce","FAQ-odpoved","Nic se nerozbije. Všechny odpovědi se dají upravit, smazat nebo přepsat. A pokud rodič nemůže, uděláte to vy v rodinném editoru.","",""
"faq.cat6.q3","/faq","Po objednávce","FAQ-otazka","Můžu Vzpomínkář používat ze zahraničí?","",""
"faq.cat6.a3","/faq","Po objednávce","FAQ-odpoved","Ano. Otázky chodí stejně, knihovna funguje odkudkoliv. Poštovné po Česku i Slovensku je v ceně; doručení do jiných zemí domluvíme individuálně — napište nám.","",""
"faq.finalcta.eyebrow","/faq","Závěrečné CTA","Eyebrow","Stále váháte?","",""
"faq.finalcta.heading","/faq","Závěrečné CTA","Nadpis","Přístup ke knize, jednou a napořád.","",""
"faq.finalcta.lede","/faq","Závěrečné CTA","Odstavec","Jednorázově, bez předplatného. Tištěnou knihu si objednáte, až budete mít vzpomínek dost.","",""
"faq.finalcta.footer","/faq","Závěrečné CTA","Odstavec","Nenašli jste odpověď? Napište nám.","","obsahuje odkaz Napište nám na /kontakt"
"faq.finalcta.footer.link","/faq","Závěrečné CTA","Odkaz","Napište nám","","odkaz na /kontakt"
